RUN_ID,d_wheel,A_front,HM_VA,AWD,iAG,m_curb,Wheelbase,h_s,weight_dist,MainAxle_TorqueSplit_int,Hybrid_ICE_priority,VM,EV,Hy,i_GET_EV,i_ges_P4,mode,use_cus_val,Gear_Ratio,No_Gears,shiftDelay,Displacement_cc,Induction_Type,Boost_Pressure_bar,P0,P2,P3,P4,P4_DM,n_ICE_idle,n_ICE_max,tq_ICE_idle,tq_ICE_max,Pwr_ICE_max_kW,tq_P0_max,Pwr_P0_max_kW,n_P0_max,Pwr_P0_nmax_red_perc,tq_P2_max,Pwr_P2_max_kW,n_P2_max,Pwr_P2_nmax_red_perc,tq_P3_max,Pwr_P3_max_kW,n_P3_max,Pwr_P3_nmax_red_perc,tq_P4_max,Pwr_P4_max_kW,n_P4_max,Pwr_P4_nmax_red_perc,Cell_Cap_Ah,Cell_V_nom,Cell_R_inner,Cell_V_min,Cell_V_max,Cell_I_max_chg,Cell_I_max_dis,SOC_Vector,Cell_OCV_Vector,n_s,n_p,facSocInit,SOC_Recup_Limit,SOC_Bat_Discharge_Limit
2466,0.752,3.1025,0,0,4.63,1635,2.95,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.59, 2.25, 1.15, 1.0, 0.82]",5,1,2389,NA,0,0,0,0,0,0,1000,6500,39,195,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
4360,0.6539,2.6901,1,0,2.48,1895,2.803,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[4.68, 2.94, 1.92, 1.3, 1.0]",5,0.6,2446,NA,0,0,0,0,0,0,1000,6500,57.8,289,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
2354,0.6146,2.7798,1,0,4.59,1205,2.52,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.45, 1.95, 1.28, 0.94, 0.76]",5,0.8,1834,NA,0,0,0,0,0,0,1000,6500,32.4,162,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
3583,0.6345,2.46525,1,1,4.11,1435,2.67,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.45, 2.06, 1.45, 1.09, 0.83]",5,0.6,1994,NA,0,0,0,0,0,0,1000,6500,39.2,196,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
1166,0.6777,2.7972,1,1,3.91,2150,3.01,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.67, 2.4, 1.61, 1.19, 1.0, 0.83, 0.64, 0.56]",8,0.35,3778,NA,0,0,0,0,0,0,1000,6500,79.4,397,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
1640,0.7392,3.3234,1,1,3.75,1895,2.66,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[4.15, 2.37, 1.56, 1.16, 0.86, 0.69]",6,0.8,1999,Turbo,0,0,0,0,0,0,1000,6500,68,340,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
3221,0.5961,2.531104,1,0,4.21,1360,2.67,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.36, 1.86, 1.32, 1.03, 0.82]",5,0.8,1998,NA,0,0,0,0,0,0,1000,6500,29.6,148,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
1269,0.678,2.494131,0,0,3.15,1567,2.622,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[4.11, 2.31, 1.54, 1.18, 1.0, 0.85, 0.84, 0.67]",6,1.2,2995,Supercharger,0,0,0,0,0,0,1000,6500,90,450,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
2332,0.6345,2.6664,1,0,4.05,1375,2.635,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.73, 1.95, 1.34, 0.98, 0.8]",5,0.6,1499,NA,0,0,0,0,0,0,1000,6500,30.8,154,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
329,0.6343,2.490384,1,0,3.65,1305,2.468,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.78, 2.06, 1.46, 1.11, 0.88, 0.72]",6,0.6,1798,Turbo,0.7,0,0,0,0,0,1000,6500,50,250,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
658,0.66,2.549525,0,0,2.81,1720,2.856,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[5.0, 3.2, 2.14, 1.72, 1.31, 1.0, 0.82, 0.64]",8,0.35,1997,Turbo,0,0,0,0,0,0,1000,6500,80,400,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
2246,0.5831,2.2932,1,0,4.05,1020,2.415,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.58, 1.95, 1.34, 0.98, 0.8]",5,0.6,1299,NA,0,0,0,0,0,0,1000,6500,21.6,108,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
566,0.632,2.33586,0,0,3.07,1445,2.725,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[4.23, 2.52, 1.67, 1.22, 1.0]",5,0.6,1991,NA,0,0,0,0,0,0,1000,6500,49,245,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
4469,0.6429,2.584854,1,0,3.82,1510,2.675,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.58, 1.88, 1.18, 0.89, 0.66]",5,0.6,1796,NA,0,0,0,0,0,0,1000,6500,48,240,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
1084,0.6345,2.6224,0,0,3.64,1440,2.761,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.61, 2.08, 1.36, 1.0, 0.83]",5,0.8,1998,NA,0,0,0,0,0,0,1000,6500,45.6,228,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
671,0.654,2.481167,0,0,3.23,1590,2.83,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[4.2, 2.49, 1.66, 1.24, 1.0]",5,0.6,1991,NA,0,0,0,0,0,0,1000,6500,49,245,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
1366,0.773,3.417546,1,1,3.7,2531,2.915,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[4.71, 3.14, 2.11, 1.67, 1.28, 1.0, 0.84, 0.67]",8,0.06,6417,NA,0,0,0,0,0,0,1000,6500,173.6,868,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
4266,0.6215,2.76315,1,1,4.64,1100,2.54,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.09, 1.84, 1.25, 0.86, 0.75]",5,1.2,1298,NA,0,0,0,0,0,0,1000,6500,26.4,132,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
4126,0.6345,2.634996,1,0,4.06,1302,2.651,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.62, 1.95, 1.28, 0.97, 0.78, 0.65]",6,0.6,1197,Turbo,0.9,0,0,0,0,0,1000,6300,35,175,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
3857,0.6319,2.8998,1,0,4.56,1495,2.78,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.54, 1.91, 1.39, 1.03, 0.88, 0.74]",6,0.6,1598,NA,0,0,0,0,0,0,1000,6500,32,160,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
